Отметка времени,Ваш ID в VK
4520686864,id224364474
4520686918,hezzerd
4520686962,igwhore
4520686996,531619927
4520687102,194848002
4520687265,mra4naya_jiu4hoctb
4520687484,https://vk.com/id_yasno
4520687874,alex_bayir
4520688223,308412461
452068827,232210943
4520688804,https://vk.com/p_i_n_a_c_o_l_a_d_a
4520689685,madbunny1
4520692516,139939428
4520699518,scndjk
4520703117,54705450
4520742024,https://vk.com/valdrg
4520844951,id_totktosmog
4520860352,totara_jokiyskiy
4520870776,alonepomahtik
4520977175,315590903
4521085143,Ye1isha
4521150571,ensssomhet
4520687928,https://vk.com/kvonker
452069765,denilai
,@id184267947

